"filename", "language", "TypeScript", "Markdown", "Ignore", "JavaScript", "JSON", "JSON with Comments", "YAML", "PostCSS", "HTML", "vue", "comment", "blank", "total"
"k:\AiChat\novel2ST\NovelToST\.cursor\mcp.json", "JSON with Comments", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 1, 12
"k:\AiChat\novel2ST\NovelToST\.github\workflows\build.yaml", "YAML", 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 11, 51
"k:\AiChat\novel2ST\NovelToST\.github\workflows\test.yaml", "YAML", 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 12, 54
"k:\AiChat\novel2ST\NovelToST\.prettierignore", "Ignore", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"k:\AiChat\novel2ST\NovelToST\.prettierrc", "JSON", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 1, 14
"k:\AiChat\novel2ST\NovelToST\@types\function\audio.d.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 75, 10, 106
"k:\AiChat\novel2ST\NovelToST\@types\function\builtin.d.ts", "TypeScript", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 6, 86
"k:\AiChat\novel2ST\NovelToST\@types\function\character.d.ts", "TypeScript", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 112, 13, 168
"k:\AiChat\novel2ST\NovelToST\@types\function\chat_message.d.ts", "TypeScript", 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 155, 14, 235
"k:\AiChat\novel2ST\NovelToST\@types\function\displayed_message.d.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 4, 71
"k:\AiChat\novel2ST\NovelToST\@types\function\extension.d.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 10, 105
"k:\AiChat\novel2ST\NovelToST\@types\function\generate.d.ts", "TypeScript", 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 202, 22, 285
"k:\AiChat\novel2ST\NovelToST\@types\function\global.d.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 2, 28
"k:\AiChat\novel2ST\NovelToST\@types\function\import_raw.d.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 5, 67
"k:\AiChat\novel2ST\NovelToST\@types\function\index.d.ts", "TypeScript", 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 22, 170
"k:\AiChat\novel2ST\NovelToST\@types\function\inject.d.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 6, 47
"k:\AiChat\novel2ST\NovelToST\@types\function\lorebook.d.ts", "TypeScript", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 13, 62
"k:\AiChat\novel2ST\NovelToST\@types\function\lorebook_entry.d.ts", "TypeScript", 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 9, 77
"k:\AiChat\novel2ST\NovelToST\@types\function\macro_like.d.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 4, 38
"k:\AiChat\novel2ST\NovelToST\@types\function\preset.d.ts", "TypeScript", 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 221, 25, 366
"k:\AiChat\novel2ST\NovelToST\@types\function\raw_character.d.ts", "TypeScript", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 67, 13, 133
"k:\AiChat\novel2ST\NovelToST\@types\function\script.d.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 5
"k:\AiChat\novel2ST\NovelToST\@types\function\slash.d.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 1, 30
"k:\AiChat\novel2ST\NovelToST\@types\function\tavern_regex.d.ts", "TypeScript", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 14, 123
"k:\AiChat\novel2ST\NovelToST\@types\function\util.d.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 4, 44
"k:\AiChat\novel2ST\NovelToST\@types\function\variables.d.ts", "TypeScript", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 159, 9, 207
"k:\AiChat\novel2ST\NovelToST\@types\function\version.d.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 10
"k:\AiChat\novel2ST\NovelToST\@types\function\worldbook.d.ts", "TypeScript", 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 210, 20, 324
"k:\AiChat\novel2ST\NovelToST\@types\iframe\event.d.ts", "TypeScript", 351, 0, 0, 0, 0, 0, 0, 0, 0, 0, 151, 20, 522
"k:\AiChat\novel2ST\NovelToST\@types\iframe\exported.ejstemplate.d.ts", "TypeScript", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 12, 125
